"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2007-2008",82,5212.21,3935,3832,103,50.66,45.3,44.11,197,184,13,51.71,2.27,2.12,196.05,208.2,-12.15,48.5,2.26,2.4,573,528,-45,8.79,92,100.79
"ANA","2008-2009",82,5136.28,4336,4279,57,50.33,50.65,49.99,238,235,3,50.32,2.78,2.75,224.86,223.4,1.46,50.16,2.63,2.61,543,465,-78,9.59,90.6,100.19
"ANA","2009-2010",82,5190.87,4363,4771,-408,47.77,50.43,55.15,233,243,-10,48.95,2.69,2.81,220,251.6,-31.6,46.65,2.54,2.91,479,460,-19,9.43,91.12,100.55
"ANA","2010-2011",82,5082.71,4093,5041,-948,44.81,48.32,59.51,235,233,2,50.21,2.77,2.75,202.35,237.49,-35.14,46.01,2.39,2.8,428,406,-22,10.07,91.2,101.27
"ANA","2011-2012",82,5135.89,4407,4588,-181,48.99,51.48,53.6,201,224,-23,47.29,2.35,2.62,214.03,229.33,-15.3,48.27,2.5,2.68,374,355,-19,8.77,90.53,99.3
"ANA","2012-2013",48,3071.29,2523,2743,-220,47.91,49.29,53.59,134,115,19,53.82,2.62,2.25,125.93,121.78,4.15,50.84,2.46,2.38,203,176,-27,9.95,91.42,101.37
"ANA","2013-2014",82,5125.88,4707,4678,29,50.15,55.1,54.76,263,203,60,56.44,3.08,2.38,249.36,219.77,29.59,53.15,2.92,2.57,362,375,13,10.24,91.38,101.61
"ANA","2014-2015",82,5197.24,4719,4522,197,51.07,54.48,52.2,228,221,7,50.78,2.63,2.55,232.17,214.29,17.88,52,2.68,2.47,356,320,-36,9.28,90.66,99.94
"ANA","2015-2016",82,5082.04,4738,4384,354,51.94,55.94,51.76,215,188,27,53.35,2.54,2.22,235.53,199.06,36.47,54.2,2.78,2.35,398,354,-44,8.65,91.68,100.33
"ANA","2016-2017",82,5069.78,4579,4659,-80,49.57,54.19,55.14,220,197,23,52.76,2.6,2.33,242.25,227.23,15.02,51.6,2.87,2.69,374,349,-25,9.07,91.89,100.96
"ANA","2017-2018",82,5002.3,4647,5086,-439,47.74,55.74,61,231,209,22,52.5,2.77,2.51,244.03,259.8,-15.77,48.43,2.93,3.12,347,287,-60,9.33,92.31,101.64
"ANA","2018-2019",81,4925.43,4322,4994,-672,46.39,52.65,60.84,195,246,-51,44.22,2.38,3,201.53,267.01,-65.48,43.01,2.45,3.25,321,259,-62,8.71,90.88,99.59
"ARI","2007-2008",82,5158.8,4394,4533,-139,49.22,51.1,52.72,209,225,-16,48.16,2.43,2.62,206.8,220.82,-14.02,48.36,2.41,2.57,441,446,5,8.36,91.06,99.42
"ARI","2008-2009",81,4991.35,4157,4808,-651,46.37,49.97,57.8,200,248,-48,44.64,2.4,2.98,191.08,212.29,-21.21,47.37,2.3,2.55,410,462,52,8.81,90.29,99.11
"ARI","2009-2010",82,5332.6,4575,4409,166,50.92,51.48,49.61,211,196,15,51.84,2.37,2.21,208.5,208.38,0.12,50.01,2.35,2.34,381,377,-4,8.43,91.92,100.35
"ARI","2010-2011",82,5160.5,4658,4826,-168,49.11,54.16,56.11,226,220,6,50.67,2.63,2.56,206.67,231.46,-24.79,47.17,2.4,2.69,371,357,-14,9.09,91.77,100.86
"ARI","2011-2012",82,5251.95,4609,4721,-112,49.4,52.65,53.93,210,194,16,51.98,2.4,2.22,208.54,225.09,-16.55,48.09,2.38,2.57,323,325,2,8.65,92.52,101.16
"ARI","2012-2013",48,3095.2,2780,2753,27,50.24,53.89,53.37,121,125,-4,49.19,2.35,2.42,121.35,130.39,-9.04,48.2,2.35,2.53,213,213,0,8.16,91.49,99.64
"ARI","2013-2014",82,5210.37,4704,4635,69,50.37,54.17,53.37,210,224,-14,48.39,2.42,2.58,202.26,226.83,-24.57,47.14,2.33,2.61,347,354,7,8.41,91.18,99.59
"ARI","2014-2015",82,5144.24,4618,5061,-443,47.71,53.86,59.03,165,267,-102,38.19,1.92,3.11,198.86,246.62,-47.76,44.64,2.32,2.88,345,297,-48,6.9,90.19,97.09
"ARI","2015-2016",82,4986.21,4357,4790,-433,47.63,52.43,57.64,208,244,-36,46.02,2.5,2.94,201.48,221.89,-20.41,47.59,2.42,2.67,397,379,-18,9.18,90.4,99.58
"ARI","2016-2017",82,5105.8,4285,5252,-967,44.93,50.35,61.72,191,258,-67,42.54,2.24,3.03,190.08,259.92,-69.84,42.24,2.23,3.05,332,298,-34,8.37,90.78,99.15
"ARI","2017-2018",82,4999.24,4788,5039,-251,48.72,57.46,60.48,206,251,-45,45.08,2.47,3.01,216.06,255.65,-39.59,45.8,2.59,3.07,282,302,20,8.41,90.5,98.91
"ARI","2018-2019",81,4920.35,4666,4807,-141,49.26,56.9,58.62,209,218,-9,48.95,2.55,2.66,222.59,229.47,-6.88,49.24,2.71,2.8,274,304,30,8.4,91.28,99.68
"ATL","2007-2008",82,5236.68,3652,4763,-1111,43.4,41.84,54.57,207,266,-59,43.76,2.37,3.05,195.7,239.33,-43.63,44.99,2.24,2.74,436,393,-43,9.79,90.44,100.23
"ATL","2008-2009",82,5101.48,4122,4727,-605,46.58,48.48,55.6,250,279,-29,47.26,2.94,3.28,215.74,242.44,-26.7,47.09,2.54,2.85,487,477,-10,10.84,89.6,100.44
"ATL","2009-2010",82,5137.99,4349,4671,-322,48.22,50.79,54.55,230,250,-20,47.92,2.69,2.92,201.81,245.63,-43.82,45.1,2.36,2.87,426,425,-1,9.54,90.8,100.34
